Start,End,Duration (hours),Date,Event,Beaufort land-wind scale,No. customers affected
11/11/2022,11/11/2022 23:00,0.75,,,,
13/11/2022,13/11/2022 19:00,1,,,,
13/11/2022,13/11/2022 20:00,0.75,,,,
13/11/2022,13/11/2022 21:00,0.75,,,,
14/11/2022,14/11/2022 09:00,1,,,,
14/11/2022,14/11/2022 10:00,0.75,,,,
14/11/2022,14/11/2022 12:00,1.75,,,,
14/11/2022,14/11/2022 13:00,0.75,,,,
14/11/2022,14/11/2022 14:00,0.75,,,,
14/11/2022,14/11/2022 15:00,0.75,,,,
15/11/2022,15/11/2022 14:00,0.75,,,,
15/11/2022,15/11/2022 15:00,0.75,,,,
15/11/2022,15/11/2022 17:00,1,,,,
15/11/2022,15/11/2022 18:00,0.75,,,,
15/11/2022,15/11/2022 20:00,1.75,,,,
15/11/2022,15/11/2022 21:00,0.75,,,,
15/11/2022,15/11/2022 22:00,0.75,,,,
16/11/2022,16/11/2022 08:00,1,,,,
16/11/2022,16/11/2022 10:00,1.75,,,,
16/11/2022,16/11/2022 12:00,1.75,,,,
16/11/2022,16/11/2022 13:00,0.75,,,,
16/11/2022,16/11/2022 15:00,0.75,,,,
16/11/2022,16/11/2022 16:00,0.75,,,,
16/11/2022,16/11/2022 22:00,5.75,,,,
16/11/2022,16/11/2022 23:00,0.75,,,,
16/11/2022,17/11/2022 00:00,0.75,,,,
17/11/2022,17/11/2022 09:00,1,,,,
17/11/2022,17/11/2022 10:00,0.75,,,,
17/11/2022,17/11/2022 11:00,0.75,,,,
17/11/2022,17/11/2022 12:00,0.75,,,,
17/11/2022,17/11/2022 13:00,0.75,,,,
17/11/2022,17/11/2022 15:00,1.75,,,,
17/11/2022,17/11/2022 16:00,0.75,,,,
17/11/2022,17/11/2022 19:00,1,,,,
18/11/2022,18/11/2022 17:00,1,,,,
18/11/2022,18/11/2022 18:00,0.75,,,,
18/11/2022,18/11/2022 20:00,1.75,,,,
18/11/2022,18/11/2022 21:00,0.75,,,,
18/11/2022,18/11/2022 22:00,0.75,,,,
18/11/2022,18/11/2022 23:00,0.75,,,,
22/11/2022,22/11/2022 11:00,1,,,,
22/11/2022,22/11/2022 13:00,1.75,,,,
22/11/2022,22/11/2022 15:00,1.75,,,,
22/11/2022,22/11/2022 16:00,0.75,,,,
22/11/2022,22/11/2022 17:00,0.75,,,,
22/11/2022,22/11/2022 21:00,3.75,,,,
22/11/2022,22/11/2022 22:00,0.75,,,,
29/11/2022,29/11/2022 09:00,1,,,,
29/11/2022,29/11/2022 10:00,0.75,,,,
29/11/2022,29/11/2022 12:00,0.75,,,,
29/11/2022,29/11/2022 13:00,0.75,,,,
29/11/2022,29/11/2022 14:00,0.75,,,,
30/11/2022,30/11/2022 20:00,2,,,,
02/12/2022,02/12/2022 13:00,1,,,,
02/12/2022,02/12/2022 15:00,1.75,,,,
02/12/2022,02/12/2022 16:00,0.75,,,,
02/12/2022,02/12/2022 17:00,0.75,,,,
02/12/2022,02/12/2022 18:00,0.75,,,,
02/12/2022,02/12/2022 20:00,1.75,,,,
02/12/2022,02/12/2022 21:00,0.75,,,,
02/12/2022,02/12/2022 23:00,0.75,,,,
03/12/2022,03/12/2022 19:00,1,,,,
03/12/2022,03/12/2022 20:00,0.75,,,,
06/12/2022,06/12/2022 17:00,1,,,,
06/12/2022,06/12/2022 18:00,0.75,,,,
06/12/2022,06/12/2022 19:00,0.75,,,,
06/12/2022,06/12/2022 20:00,0.75,,,,
06/12/2022,06/12/2022 21:00,0.75,,,,
07/12/2022,07/12/2022 10:00,1,,,,
07/12/2022,07/12/2022 14:00,3.75,,,,
07/12/2022,07/12/2022 16:00,1.75,,,,
07/12/2022,07/12/2022 17:00,0.75,,,,
07/12/2022,07/12/2022 22:00,4.75,,,,
07/12/2022,07/12/2022 23:00,0.75,,,,
09/12/2022,09/12/2022 08:00,1,,,,
09/12/2022,09/12/2022 21:00,12.75,,,,
09/12/2022,09/12/2022 23:00,0.75,,,,
10/12/2022,10/12/2022 11:00,1,,,,
10/12/2022,10/12/2022 15:00,2.75,,,,
10/12/2022,10/12/2022 16:00,0.75,,,,
10/12/2022,10/12/2022 17:00,0.75,,,,
10/12/2022,10/12/2022 18:00,0.75,,,,
10/12/2022,10/12/2022 19:00,0.75,,,,
10/12/2022,10/12/2022 20:00,0.75,,,,
10/12/2022,10/12/2022 22:00,0.75,,,,
11/12/2022,11/12/2022 17:00,0.75,,,,
11/12/2022,11/12/2022 18:00,0.75,,,,
11/12/2022,11/12/2022 20:00,1.75,,,,
11/12/2022,11/12/2022 21:00,0.75,,,,
11/12/2022,11/12/2022 22:00,0.75,,,,
12/12/2022,12/12/2022 10:00,1,,,,
12/12/2022,12/12/2022 15:00,1.75,,,,
12/12/2022,12/12/2022 16:00,0.75,,,,
12/12/2022,12/12/2022 17:00,0.75,,,,
12/12/2022,12/12/2022 20:00,2.75,,,,
12/12/2022,12/12/2022 22:00,0.75,,,,
12/12/2022,12/12/2022 23:00,0.75,,,,
13/12/2022,13/12/2022 11:00,1,,,,
13/12/2022,13/12/2022 19:00,1,,,,
13/12/2022,13/12/2022 20:00,0.75,,,,
15/12/2022,15/12/2022 10:00,1,,,,
15/12/2022,15/12/2022 11:00,0.75,,,,
15/12/2022,15/12/2022 12:00,0.75,,,,
15/12/2022,15/12/2022 13:00,0.75,,,,
15/12/2022,15/12/2022 14:00,0.75,,,,
15/12/2022,15/12/2022 22:00,7.75,,,,
15/12/2022,15/12/2022 23:00,0.75,,,,
16/12/2022,16/12/2022 10:00,1,,,,
16/12/2022,16/12/2022 12:00,1.75,,,,
16/12/2022,16/12/2022 13:00,0.75,,,,
16/12/2022,16/12/2022 14:00,0.75,,,,
16/12/2022,16/12/2022 19:00,1,,,,
17/12/2022,17/12/2022 12:00,1,,,,
17/12/2022,17/12/2022 13:00,0.75,,,,
17/12/2022,17/12/2022 14:00,0.75,,,,
17/12/2022,17/12/2022 15:00,0.75,,,,
22/12/2022,22/12/2022 09:00,1,,,,
22/12/2022,22/12/2022 10:00,0.75,,,,
22/12/2022,22/12/2022 11:00,0.75,,,,
22/12/2022,22/12/2022 12:00,0.75,,,,
22/12/2022,22/12/2022 15:00,2.75,,,,
22/12/2022,22/12/2022 16:00,0.75,,,,
22/12/2022,22/12/2022 20:00,3.75,,,,
22/12/2022,22/12/2022 21:00,0.75,,,,
22/12/2022,22/12/2022 22:00,0.75,,,,
22/12/2022,22/12/2022 23:00,0.75,,,,
22/12/2022,23/12/2022 00:00,0.75,,,,
16/01/2023,16/01/2023 11:00,1,,,,
16/01/2023,16/01/2023 12:00,0.75,,,,
16/01/2023,16/01/2023 17:00,1,,,,
16/01/2023,16/01/2023 18:00,0.75,,,,
16/01/2023,16/01/2023 20:00,1.75,,,,
16/01/2023,16/01/2023 21:00,0.75,,,,
16/01/2023,16/01/2023 22:00,0.75,,,,
16/01/2023,16/01/2023 23:00,0.75,,,,
17/01/2023,17/01/2023 10:00,1,,,,
17/01/2023,17/01/2023 13:00,2.75,,,,
