Outage Start,Outage End,Duration (hours),Weather Event Date,Weather Event,Wind scale,RES
04/03/2017,06/03/2017 01:00,26,25/02/2017,Ewan,Gale,4
12/09/2017,13/09/2017 01:00,19,12/09/2017,Aileen,Gale,3
13/09/2017,14/09/2017 01:00,19,12/09/2017,Aileen,Gale,3
13/09/2017,14/09/2017 01:00,17.25,12/09/2017,Aileen,Gale,3
17/09/2017,18/09/2017 01:00,11.75,12/09/2017,Aileen,Gale,3
18/09/2017,19/09/2017 01:00,14.75,12/09/2017,Aileen,Gale,3
19/09/2017,20/09/2017 01:00,5,12/09/2017,Aileen,Gale,3
18/10/2017,19/10/2017 01:00,22,16/10/2017,Ophelia,Violent Storm,4
18/10/2017,19/10/2017 01:00,21,16/10/2017,Ophelia,Violent Storm,4
18/10/2017,19/10/2017 01:00,19.25,16/10/2017,Ophelia,Violent Storm,4
18/10/2017,19/10/2017 01:00,11.25,16/10/2017,Ophelia,Violent Storm,4
21/10/2017,22/10/2017 01:00,14,21/10/2017,Brian,Gale,4
24/10/2017,25/10/2017 01:00,11.75,21/10/2017,Brian,Gale,4
25/10/2017,26/10/2017 01:00,16,21/10/2017,Brian,Gale,4
25/10/2017,26/10/2017 01:00,7.25,21/10/2017,Brian,Gale,4
25/10/2017,25/10/2017 21:30,2.5,21/10/2017,Brian,Gale,4
26/10/2017,29/10/2017 01:00,51.75,21/10/2017,Brian,Gale,4
28/10/2017,29/10/2017 01:00,6,21/10/2017,Brian,Gale,4
07/12/2017,08/12/2017 01:00,8.75,07/12/2017,Caroline,Gale,4
07/12/2017,08/12/2017 01:00,8.75,07/12/2017,Caroline,Gale,4
08/12/2017,09/12/2017 01:00,15,07/12/2017,Caroline,Gale,4
09/12/2017,10/12/2017 01:00,14.75,07/12/2017,Caroline,Gale,4
09/12/2017,11/12/2017 01:00,26.75,07/12/2017,Caroline,Gale,4
10/12/2017,11/12/2017 01:00,23,07/12/2017,Caroline,Gale,4
10/12/2017,11/12/2017 01:00,14.75,07/12/2017,Caroline,Gale,4
10/12/2017,10/12/2017 13:15,0.75,07/12/2017,Caroline,Gale,4
10/12/2017,11/12/2017 01:00,8,07/12/2017,Caroline,Gale,4
10/12/2017,10/12/2017 23:00,3.5,07/12/2017,Caroline,Gale,4
11/12/2017,12/12/2017 01:00,16.75,07/12/2017,Caroline,Gale,4
12/12/2017,13/12/2017 01:00,23,07/12/2017,Caroline,Gale,4
12/12/2017,13/12/2017 01:00,17.75,07/12/2017,Caroline,Gale,4
12/12/2017,13/12/2017 01:00,12,07/12/2017,Caroline,Gale,4
12/12/2017,13/12/2017 01:00,12,07/12/2017,Caroline,Gale,4
12/12/2017,13/12/2017 01:00,9,07/12/2017,Caroline,Gale,4
12/12/2017,13/12/2017 01:00,8.25,07/12/2017,Caroline,Gale,4
13/12/2017,14/12/2017 01:00,15.75,07/12/2017,Caroline,Gale,4
13/12/2017,15/12/2017 01:00,28,07/12/2017,Caroline,Gale,4
13/12/2017,15/12/2017 01:00,28,07/12/2017,Caroline,Gale,4
14/12/2017,15/12/2017 01:00,12.75,07/12/2017,Caroline,Gale,4
14/12/2017,14/12/2017 14:15,2,07/12/2017,Caroline,Gale,4
31/12/2017,31/12/2017 02:15,2.25,31/12/2017,Dylan,Storm,4
31/12/2017,31/12/2017 22:15,1,31/12/2017,Dylan,Storm,4
31/12/2017,02/01/2018 01:00,26.25,31/12/2017,Dylan,Storm,4
31/12/2017,01/01/2018 02:30,3,31/12/2017,Dylan,Storm,4
